INSERT INTO Registro_gimnasio VALUES('2023-05-15', 'A0200414'),
('2023-05-19', 'A0406303'),
('2023-05-19', 'A0455018'),
('2023-05-19', 'A0518404'),
('2023-05-19', 'A0758053'),
('2023-05-19', 'A0827949'),
('2023-05-19', 'A0107956'),
('2023-05-19', 'A0674869'),
('2023-05-19', 'A0450689'),
('2023-05-19', 'A0755098'),
('2023-05-19', 'A0914321'),
('2023-05-19', 'A0768996'),
('2023-05-19', 'A0625782'),
('2023-05-19', 'A0121753'),
('2023-05-19', 'A09904'),
('2023-05-19', 'A01667'),
('2023-05-19', 'A0135941'),
('2023-05-19', 'A0690261'),
('2023-05-19', 'A0176191'),
('2023-05-19', 'A0600865'),
('2023-05-19', 'A0454215'),
('2023-05-19', 'A0954143'),
('2023-05-19', 'A0396818'),
('2023-05-19', 'A0491633'),
('2023-05-19', 'A0636616'),
('2023-05-19', 'A0511239'),
('2023-05-19', 'A0624196'),
('2023-05-19', 'A0985218'),
('2023-05-19', 'A0271780'),
('2023-05-19', 'A0514864'),
('2023-05-19', 'A0942590'),
('2023-05-19', 'A0605300'),
('2023-05-19', 'A0427462'),
('2023-05-19', 'A0435343'),
('2023-05-19', 'A0150322'),
('2023-05-19', 'A0126984'),
('2023-05-19', 'A0603094'),
('2023-05-19', 'A0661242'),
('2023-05-19', 'A0993289'),
('2023-05-19', 'A0648011'),
('2023-05-19', 'A0372946'),
('2023-05-19', 'A0773021'),
('2023-05-19', 'A0979945'),
('2023-05-19', 'A0199947'),
('2023-05-19', 'A0126214'),
('2023-05-19', 'A0983867'),
('2023-05-19', 'A0378898'),
('2023-05-19', 'A0212683'),
('2023-05-19', 'A0494983'),
('2023-05-19', 'A0147404'),
('2023-05-19', 'A032260'),
('2023-05-19', 'A0529032'),
('2023-05-19', 'A0651701'),
('2023-05-19', 'A050670'),
('2023-05-19', 'A032477'),
('2023-05-19', 'A050615'),
('2023-05-19', 'A0746043'),
('2023-05-19', 'A0498329'),
('2023-05-19', 'A0554248'),
('2023-05-19', 'A0504025'),
('2023-05-19', 'A0694221'),
('2023-05-19', 'A0670280'),
('2023-05-19', 'A0494343'),
('2023-05-19', 'A055803'),
('2023-05-19', 'A05704'),
('2023-05-19', 'A0974182'),
('2023-05-19', 'A0814997'),
('2023-05-19', 'A0815849'),
('2023-05-19', 'A0815581'),
('2023-05-19', 'A066099'),
('2023-05-19', 'A0995085'),
('2023-05-19', 'A0624517'),
('2023-05-19', 'A0676159'),
('2023-05-19', 'A0224130'),
('2023-05-19', 'A0568877'),
('2023-05-19', 'A0159632'),
('2023-05-19', 'A0948026'),
('2023-05-19', 'A0250218'),
('2023-05-19', 'A074596'),
('2023-05-19', 'A0534912'),
('2023-05-19', 'A0214502'),
('2023-05-19', 'A0930948'),
('2023-05-19', 'A0641847'),
('2023-05-19', 'A0353298'),
('2023-05-19', 'A0204938'),
('2023-05-19', 'A0771023'),
('2023-05-19', 'A0815203'),
('2023-05-19', 'A053433'),
('2023-05-19', 'A0595531'),
('2023-05-19', 'A0843808'),
('2023-05-19', 'A079525'),
('2023-05-19', 'A0781686'),
('2023-05-19', 'A0611580'),
('2023-05-19', 'A0173544'),
('2023-05-19', 'A0521152'),
('2023-05-19', 'A0625930'),
('2023-05-19', 'A0290530'),
('2023-05-19', 'A0595326'),
('2023-05-19', 'A0491832'),
('2023-05-19', 'A0340364'),
('2023-05-19', 'A0316936'),
('2023-05-19', 'A0477895'),
('2023-05-19', 'A0386468'),
('2023-05-19', 'A065123'),
('2023-05-19', 'A020196'),
('2023-05-19', 'A054192'),
('2023-05-19', 'A0879899'),
('2023-05-19', 'A0848432'),
('2023-05-19', 'A0874113'),
('2023-05-19', 'A092542'),
('2023-05-19', 'A0650227'),
('2023-05-19', 'A0510584'),
('2023-05-19', 'A0941362'),
('2023-05-19', 'A019667'),
('2023-05-19', 'A0502042'),
('2023-05-19', 'A0199766'),
('2023-05-19', 'A0724853'),
('2023-05-19', 'A0778857'),
('2023-05-19', 'A0446607'),
('2023-05-19', 'A0502591'),
('2023-05-19', 'A0377048'),
('2023-05-19', 'A0180057'),
('2023-05-19', 'A0792273'),
('2023-05-19', 'A0754983'),
('2023-05-19', 'A04636'),
('2023-05-19', 'A0442769'),
('2023-05-19', 'A0317673'),
('2023-05-19', 'A061759'),
('2023-05-19', 'A0323876'),
('2023-05-19', 'A0693710'),
('2023-05-19', 'A016515'),
('2023-05-19', 'A0708568'),
('2023-05-19', 'A0657791'),
('2023-05-19', 'A0233918'),
('2023-05-19', 'A0425505'),
('2023-05-19', 'A0744755'),
('2023-05-19', 'A0751916'),
('2023-05-19', 'A0555595'),
('2023-05-19', 'A0686537'),
('2023-05-19', 'A0708262'),
('2023-05-19', 'A0465600'),
('2023-05-19', 'A0183115'),
('2023-05-19', 'A0520953'),
('2023-05-19', 'A0198090'),
('2023-05-19', 'A0827343'),
('2023-05-19', 'A0192567'),
('2023-05-19', 'A0813829'),
('2023-05-19', 'A0370131'),
('2023-05-19', 'A090642'),
('2023-05-19', 'A0847679'),
('2023-05-19', 'A0122045'),
('2023-05-19', 'A0233762'),
('2023-05-19', 'A0569347'),
('2023-05-19', 'A0503585'),
('2023-05-19', 'A0922106'),
('2023-05-19', 'A0927959'),
('2023-05-19', 'A0360099'),
('2023-05-19', 'A0598649'),
('2023-05-19', 'A0550855'),
('2023-05-19', 'A0377475'),
('2023-05-19', 'A0897010'),
('2023-05-19', 'A0398957'),
('2023-05-19', 'A0773509'),
('2023-05-19', 'A016817'),
('2023-05-19', 'A0133603'),
('2023-05-19', 'A0263468'),
('2023-05-19', 'A0410255'),
('2023-05-19', 'A0175882'),
('2023-05-19', 'A0692711'),
('2023-05-19', 'A0476812'),
('2023-05-19', 'A048797'),
('2023-05-19', 'A0230758'),
('2023-05-19', 'A0763431'),
('2023-05-19', 'A0813613'),
('2023-05-19', 'A0695656'),
('2023-05-19', 'A0115258'),
('2023-05-19', 'A0491077'),
('2023-05-19', 'A0996175'),
('2023-05-19', 'A0448902'),
('2023-05-19', 'A0744558'),
('2023-05-19', 'A0956457'),
('2023-05-19', 'A0475432'),
('2023-05-19', 'A0131519'),
('2023-05-19', 'A047013'),
('2023-05-19', 'A0693950'),
('2023-05-19', 'A0689275'),
('2023-05-19', 'A0415697'),
('2023-05-19', 'A0797018'),
('2023-05-19', 'A0364980'),
('2023-05-19', 'A0339348'),
('2023-05-19', 'A0204884'),
('2023-05-19', 'A0692167'),
('2023-05-19', 'A0630261'),
('2023-05-19', 'A0903532'),
('2023-05-19', 'A0353859'),
('2023-05-19', 'A0239542'),
('2023-05-19', 'A0811130'),
('2023-05-19', 'A0297627'),
('2023-05-19', 'A0491468'),
('2023-05-19', 'A0689640'),
('2023-05-19', 'A0923609'),
('2023-05-19', 'A0728222'),
('2023-05-19', 'A0982705'),
('2023-05-19', 'A0250584'),
('2023-05-19', 'A0399651'),
('2023-05-19', 'A0926626'),
('2023-05-19', 'A0399842'),
('2023-05-19', 'A0967384'),
('2023-05-19', 'A0785925'),
('2023-05-19', 'A0986970'),
('2023-05-19', 'A0436720'),
('2023-05-19', 'A0809390'),
('2023-05-19', 'A0687979'),
('2023-05-19', 'A0367072'),
('2023-05-19', 'A078538'),
('2023-05-19', 'A0366609'),
('2023-05-19', 'A0338727'),
('2023-05-19', 'A0774596'),
('2023-05-19', 'A0911279'),
('2023-05-19', 'A0447481'),
('2023-05-19', 'A0296232'),
('2023-05-19', 'A0865815'),
('2023-05-19', 'A038159'),
('2023-05-19', 'A0505958'),
('2023-05-19', 'A0212358'),
('2023-05-19', 'A0916890'),
('2023-05-20', 'A044980'),
('2023-05-20', 'A0494099'),
('2023-05-20', 'A0543051'),
('2023-05-20', 'A0308282'),
('2023-05-20', 'A0717311'),
('2023-05-20', 'A046985'),
('2023-05-20', 'A0273256'),
('2023-05-20', 'A0534179'),
('2023-05-20', 'A0439351'),
('2023-05-20', 'A0545849'),
('2023-05-20', 'A0285769'),
('2023-05-20', 'A0772585'),
('2023-05-20', 'A0985998'),
('2023-05-20', 'A0411821'),
('2023-05-20', 'A0819783'),
('2023-05-20', 'A094892'),
('2023-05-20', 'A0598388'),
('2023-05-20', 'A080123'),
('2023-05-20', 'A0688502'),
('2023-05-20', 'A0275597'),
('2023-05-20', 'A061837'),
('2023-05-20', 'A0353399'),
('2023-05-20', 'A0782098'),
('2023-05-20', 'A0237242'),
('2023-05-20', 'A0743564'),
('2023-05-20', 'A0951470'),
('2023-05-20', 'A0494272'),
('2023-05-20', 'A0462961'),
('2023-05-20', 'A0800440'),
('2023-05-20', 'A0493666'),
('2023-05-20', 'A0671279'),
('2023-05-20', 'A0347824'),
('2023-05-20', 'A0309723'),
('2023-05-20', 'A0543470'),
('2023-05-20', 'A0923612'),
('2023-05-20', 'A0377289'),
('2023-05-20', 'A0807582'),
('2023-05-20', 'A045802'),
('2023-05-20', 'A0980372'),
('2023-05-20', 'A0647910'),
('2023-05-20', 'A0657057'),
('2023-05-20', 'A0697889'),
('2023-05-20', 'A0136900'),
('2023-05-20', 'A0197173'),
('2023-05-20', 'A04134'),
('2023-05-20', 'A0636891'),
('2023-05-20', 'A0876079'),
('2023-05-20', 'A0809233'),
('2023-05-20', 'A0269556'),
('2023-05-20', 'A0178967'),
('2023-05-20', 'A0165900'),
('2023-05-20', 'A0632984'),
('2023-05-20', 'A0339094'),
('2023-05-20', 'A0604731'),
('2023-05-20', 'A0823053'),
('2023-05-20', 'A0926893'),
('2023-05-20', 'A0401456'),
('2023-05-20', 'A0281567'),
('2023-05-20', 'A0288800'),
('2023-05-20', 'A0327904'),
('2023-05-20', 'A0780824'),
('2023-05-20', 'A0280082'),
('2023-05-20', 'A0337177'),
('2023-05-20', 'A0479589'),
('2023-05-20', 'A0279904'),
('2023-05-20', 'A050081'),
('2023-05-20', 'A0765940'),
('2023-05-20', 'A0532667'),
('2023-05-20', 'A0759414'),
('2023-05-20', 'A0987342'),
('2023-05-20', 'A0675754'),
('2023-05-20', 'A0543106'),
('2023-05-20', 'A0592264'),
('2023-05-20', 'A0328447'),
('2023-05-20', 'A0749348'),
('2023-05-20', 'A07236'),
('2023-05-20', 'A0509566'),
('2023-05-20', 'A0771298'),
('2023-05-20', 'A0309003'),
('2023-05-20', 'A0657460'),
('2023-05-20', 'A0793600'),
('2023-05-20', 'A0125759'),
('2023-05-20', 'A0159343'),
('2023-05-20', 'A0657537'),
('2023-05-20', 'A0895200'),
('2023-05-20', 'A0971715'),
('2023-05-20', 'A0936970'),
('2023-05-20', 'A0198987'),
('2023-05-20', 'A0454635'),
('2023-05-20', 'A0801961'),
('2023-05-20', 'A0443094'),
('2023-05-20', 'A0343557'),
('2023-05-20', 'A0521054'),
('2023-05-20', 'A0192122'),
('2023-05-20', 'A0350178'),
('2023-05-20', 'A0389339'),
('2023-05-20', 'A0422092'),
('2023-05-20', 'A0114449'),
('2023-05-20', 'A0608334'),
('2023-05-20', 'A0649031'),
('2023-05-20', 'A0484300'),
('2023-05-20', 'A0719125'),
('2023-05-20', 'A0424651'),
('2023-05-20', 'A0604680'),
('2023-05-20', 'A0514430'),
('2023-05-20', 'A0552543'),
('2023-05-20', 'A0192746'),
('2023-05-20', 'A0657267'),
('2023-05-20', 'A0383998'),
('2023-05-20', 'A0107421'),
('2023-05-20', 'A0874395'),
('2023-05-20', 'A0480933'),
('2023-05-20', 'A0967678'),
('2023-05-20', 'A0611390'),
('2023-05-20', 'A052565'),
('2023-05-20', 'A0854774'),
('2023-05-20', 'A0581057'),
('2023-05-20', 'A0674867'),
('2023-05-20', 'A0762068'),
('2023-05-20', 'A0821043'),
('2023-05-20', 'A041620'),
('2023-05-20', 'A0983080'),
('2023-05-20', 'A0189944'),
('2023-05-20', 'A0491170'),
('2023-05-20', 'A0647865'),
('2023-05-20', 'A06222'),
('2023-05-20', 'A0655861'),
('2023-05-20', 'A0719211'),
('2023-05-20', 'A0743978'),
('2023-05-20', 'A0965971'),
('2023-05-20', 'A0448795'),
('2023-05-20', 'A0185744'),
('2023-05-20', 'A0918692'),
('2023-05-20', 'A0259235'),
('2023-05-20', 'A0739732'),
('2023-05-20', 'A0279406'),
('2023-05-20', 'A0454676'),
('2023-05-20', 'A066522'),
('2023-05-20', 'A0113689'),
('2023-05-20', 'A054033'),
('2023-05-20', 'A0634687'),
('2023-05-20', 'A0205335'),
('2023-05-20', 'A0196170'),
('2023-05-20', 'A0606275'),
('2023-05-20', 'A0316380'),
('2023-05-20', 'A0977975'),
('2023-05-20', 'A0874932'),
('2023-05-20', 'A0390881'),
('2023-05-20', 'A050792'),
('2023-05-20', 'A0661003'),
('2023-05-20', 'A0570794');

 INSERT INTO Registro_gimnasio VALUES ('2023-05-20', 'A0817378'),
('2023-05-20', 'A0931003'),
('2023-05-20', 'A0616834'),
('2023-05-20', 'A0950815'),
('2023-05-20', 'A0823691'),
('2023-05-20', 'A0680063'),
('2023-05-20', 'A0163066'),
('2023-05-20', 'A0923761'),
('2023-05-20', 'A0870228'),
('2023-05-20', 'A081202'),
('2023-05-20', 'A03445'),
('2023-05-20', 'A0134290'),
('2023-05-20', 'A0900233'),
('2023-05-20', 'A0198022'),
('2023-05-20', 'A0851094'),
('2023-05-20', 'A0295975'),
('2023-05-20', 'A0294266'),
('2023-05-20', 'A085549'),
('2023-05-20', 'A0580440'),
('2023-05-20', 'A0480455'),
('2023-05-20', 'A032012'),
('2023-05-20', 'A0954112'),
('2023-05-20', 'A0574106'),
('2023-05-20', 'A014921'),
('2023-05-20', 'A056232'),
('2023-05-20', 'A0931114'),
('2023-05-20', 'A0872527'),
('2023-05-20', 'A0198802'),
('2023-05-20', 'A0200094'),
('2023-05-20', 'A0400158'),
('2023-05-20', 'A0978335'),
('2023-05-20', 'A0119318'),
('2023-05-20', 'A0909037'),
('2023-05-20', 'A0459545'),
('2023-05-20', 'A0870226'),
('2023-05-20', 'A0479263'),
('2023-05-20', 'A0521326'),
('2023-05-20', 'A045419'),
('2023-05-20', 'A0656588'),
('2023-05-20', 'A0635287'),
('2023-05-20', 'A0527152'),
('2023-05-20', 'A0994609'),
('2023-05-20', 'A065890'),
('2023-05-20', 'A0520137'),
('2023-05-20', 'A0859970'),
('2023-05-20', 'A087687'),
('2023-05-20', 'A0540349'),
('2023-05-20', 'A0243288'),
('2023-05-20', 'A0916389'),
('2023-05-20', 'A0794170'),
('2023-05-20', 'A0397328'),
('2023-05-20', 'A0420394'),
('2023-05-20', 'A0196306'),
('2023-05-20', 'A0396554'),
('2023-05-20', 'A0698464'),
('2023-05-20', 'A0326039'),
('2023-05-20', 'A0145200'),
('2023-05-20', 'A0508541'),
('2023-05-20', 'A0927804'),
('2023-05-20', 'A0515597'),
('2023-05-20', 'A0659660'),
('2023-05-20', 'A0277860'),
('2023-05-20', 'A0502517'),
('2023-05-20', 'A0408820'),
('2023-05-20', 'A0633812'),
('2023-05-20', 'A0853208'),
('2023-05-20', 'A0255290'),
('2023-05-20', 'A0768360'),
('2023-05-20', 'A0455103'),
('2023-05-20', 'A0185738'),
('2023-05-20', 'A0344829'),
('2023-05-20', 'A048598'),
('2023-05-20', 'A0468922'),
('2023-05-20', 'A0421690'),
('2023-05-20', 'A0649396'),
('2023-05-20', 'A0938169'),
('2023-05-20', 'A0893538'),
('2023-05-20', 'A0601548'),
('2023-05-20', 'A0483599'),
('2023-05-20', 'A0758940'),
('2023-05-20', 'A0525173'),
('2023-05-20', 'A038933'),
('2023-05-20', 'A0598518'),
('2023-05-20', 'A0794150'),
('2023-05-20', 'A0981116'),
('2023-05-20', 'A0617319'),
('2023-05-20', 'A0449495'),
('2023-05-20', 'A0868435'),
('2023-05-20', 'A0394972'),
('2023-05-20', 'A0129590'),
('2023-05-20', 'A0983934'),
('2023-05-20', 'A0719438'),
('2023-05-20', 'A0489550'),
('2023-05-20', 'A0959690'),
('2023-05-20', 'A0341511'),
('2023-05-20', 'A0824790'),
('2023-05-20', 'A0281691'),
('2023-05-20', 'A0788747'),
('2023-05-20', 'A0524456'),
('2023-05-20', 'A0438878'),
('2023-05-20', 'A0297040'),
('2023-05-20', 'A0974371'),
('2023-05-20', 'A0317583'),
('2023-05-20', 'A0236102'),
('2023-05-20', 'A0369742'),
('2023-05-20', 'A0253970'),
('2023-05-20', 'A0269845'),
('2023-05-20', 'A0478285'),
('2023-05-20', 'A0392505'),
('2023-05-20', 'A0571218'),
('2023-05-20', 'A0611592'),
('2023-05-20', 'A0664257'),
('2023-05-20', 'A0408086'),
('2023-05-20', 'A0867549'),
('2023-05-20', 'A0753223'),
('2023-05-20', 'A0277455'),
('2023-05-20', 'A0394522'),
('2023-05-20', 'A0110131'),
('2023-05-20', 'A0284040'),
('2023-05-20', 'A0464430'),
('2023-05-20', 'A0671377'),
('2023-05-20', 'A0667780'),
('2023-05-20', 'A02474'),
('2023-05-20', 'A0132897'),
('2023-05-20', 'A0195409'),
('2023-05-20', 'A074122'),
('2023-05-20', 'A0666823'),
('2023-05-20', 'A0942780'),
('2023-05-20', 'A0255746'),
('2023-05-20', 'A0641370'),
('2023-05-20', 'A0575166'),
('2023-05-20', 'A0904573'),
('2023-05-20', 'A0159538'),
('2023-05-20', 'A0358813'),
('2023-05-20', 'A0715413'),
('2023-05-20', 'A068089'),
('2023-05-20', 'A0150477'),
('2023-05-20', 'A0145657'),
('2023-05-20', 'A062580'),
('2023-05-20', 'A0506852'),
('2023-05-20', 'A0193796'),
('2023-05-20', 'A0480937'),
('2023-05-20', 'A0590610'),
('2023-05-20', 'A0728850'),
('2023-05-20', 'A0697159'),
('2023-05-20', 'A0707060'),
('2023-05-20', 'A0350157'),
('2023-05-20', 'A0900217'),
('2023-05-20', 'A0879367'),
('2023-05-20', 'A0100762'),
('2023-05-20', 'A0336793'),
('2023-05-20', 'A0800834'),
('2023-05-20', 'A0982596'),
('2023-05-20', 'A0942509'),
('2023-05-20', 'A0263630'),
('2023-05-20', 'A0766922'),
('2023-05-20', 'A0117178'),
('2023-05-20', 'A0316858'),
('2023-05-20', 'A0453406'),
('2023-05-20', 'A0747903'),
('2023-05-20', 'A0163086'),
('2023-05-20', 'A0107241'),
('2023-05-20', 'A0949007'),
('2023-05-20', 'A0955666'),
('2023-05-20', 'A0629352'),
('2023-05-20', 'A0784754'),
('2023-05-20', 'A0946864'),
('2023-05-20', 'A0484837'),
('2023-05-20', 'A0664361'),
('2023-05-20', 'A0243919'),
('2023-05-20', 'A0155039'),
('2023-05-20', 'A0216598'),
('2023-05-20', 'A0610238'),
('2023-05-20', 'A0112973'),
('2023-05-20', 'A0134106'),
('2023-05-20', 'A0777250'),
('2023-05-20', 'A0365806'),
('2023-05-20', 'A0357569'),
('2023-05-20', 'A0752619'),
('2023-05-20', 'A017333'),
('2023-05-20', 'A0624836'),
('2023-05-20', 'A0822151'),
('2023-05-20', 'A0194796'),
('2023-05-20', 'A0583111'),
('2023-05-20', 'A0562237'),
('2023-05-20', 'A0245830'),
('2023-05-20', 'A0433612'),
('2023-05-20', 'A010880'),
('2023-05-20', 'A0674471'),
('2023-05-20', 'A0230763'),
('2023-05-20', 'A0186565'),
('2023-05-20', 'A0950819'),
('2023-05-20', 'A0541060'),
('2023-05-20', 'A089459'),
('2023-05-20', 'A032962'),
('2023-05-20', 'A0587126'),
('2023-05-20', 'A0216901'),
('2023-05-20', 'A083903'),
('2023-05-20', 'A0207070'),
('2023-05-20', 'A0829271'),
('2023-05-20', 'A0278435'),
('2023-05-20', 'A0434870'),
('2023-05-20', 'A0700650'),
('2023-05-20', 'A0382932'),
('2023-05-20', 'A0952456'),
('2023-05-20', 'A0926677'),
('2023-05-20', 'A0269542'),
('2023-05-20', 'A0762260'),
('2023-05-20', 'A0344147'),
('2023-05-20', 'A0948155'),
('2023-05-20', 'A0734347'),
('2023-05-20', 'A0197635'),
('2023-05-20', 'A0673737'),
('2023-05-20', 'A0556832'),
('2023-05-20', 'A0567937'),
('2023-05-20', 'A0977629'),
('2023-05-20', 'A0324445'),
('2023-05-20', 'A0595821'),
('2023-05-20', 'A0853879'),
('2023-05-20', 'A0993186'),
('2023-05-20', 'A0455481'),
('2023-05-20', 'A0776681'),
('2023-05-20', 'A0822478'),
('2023-05-20', 'A0317183'),
('2023-05-20', 'A0173123'),
('2023-05-20', 'A0224565'),
('2023-05-20', 'A0345917'),
('2023-05-20', 'A0446723'),
('2023-05-20', 'A0925638'),
('2023-05-20', 'A0885737'),
('2023-05-20', 'A0366108'),
('2023-05-20', 'A0481990'),
('2023-05-20', 'A0909815'),
('2023-05-20', 'A0278578'),
('2023-05-20', 'A0830358'),
('2023-05-20', 'A0455627'),
('2023-05-20', 'A0411611'),
('2023-05-20', 'A0180132'),
('2023-05-20', 'A0249690'),
('2023-05-20', 'A0680974'),
('2023-05-20', 'A0587357'),
('2023-05-20', 'A0107212'),
('2023-05-20', 'A0655690'),
('2023-05-20', 'A0107601'),
('2023-05-20', 'A0557242'),
('2023-05-20', 'A0509058'),
('2023-05-20', 'A0290814'),
('2023-05-20', 'A0879311'),
('2023-05-20', 'A0518424'),
('2023-05-20', 'A0616727'),
('2023-05-20', 'A0306845'),
('2023-05-20', 'A064132'),
('2023-05-20', 'A0532047'),
('2023-05-20', 'A0502475'),
('2023-05-20', 'A0148885'),
('2023-05-20', 'A0501275'),
('2023-05-20', 'A0820082'),
('2023-05-20', 'A0769068'),
('2023-05-20', 'A0825295'),
('2023-05-20', 'A0247876'),
('2023-05-20', 'A072564'),
('2023-05-20', 'A0670166'),
('2023-05-20', 'A0873050'),
('2023-05-20', 'A0441343'),
('2023-05-20', 'A0545664'),
('2023-05-20', 'A0385032'),
('2023-05-20', 'A0319637'),
('2023-05-20', 'A0590824'),
('2023-05-20', 'A0597751'),
('2023-05-20', 'A0394738'),
('2023-05-20', 'A074767'),
('2023-05-20', 'A0309709'),
('2023-05-20', 'A0172801'),
('2023-05-20', 'A0678816'),
('2023-05-20', 'A094501'),
('2023-05-20', 'A0517160'),
('2023-05-20', 'A0611997'),
('2023-05-20', 'A0858500'),
('2023-05-20', 'A0270697'),
('2023-05-20', 'A051797'),
('2023-05-20', 'A0824668'),
('2023-05-20', 'A08113'),
('2023-05-20', 'A041423'),
('2023-05-20', 'A0565864'),
('2023-05-20', 'A0433459'),
('2023-05-20', 'A0658235'),
('2023-05-20', 'A0598825'),
('2023-05-20', 'A0678526'),
('2023-05-20', 'A0725444'),
('2023-05-20', 'A0680951'),
('2023-05-20', 'A0806155'),
('2023-05-20', 'A0951679'),
('2023-05-20', 'A0473521'),
('2023-05-20', 'A0108436'),
('2023-05-20', 'A0164381'),
('2023-05-20', 'A0786883'),
('2023-05-20', 'A0969832'),
('2023-05-20', 'A0629660'),
('2023-05-20', 'A0797730'),
('2023-05-20', 'A0389749'),
('2023-05-20', 'A0595925'),
('2023-05-20', 'A0883109'),
('2023-05-20', 'A0695419'),
('2023-05-20', 'A0513022'),
('2023-05-20', 'A0198452'),
('2023-05-20', 'A0523768'),
('2023-05-20', 'A0338544'),
('2023-05-20', 'A016398'),
('2023-05-20', 'A0131860'),
('2023-05-20', 'A0809776'),
('2023-05-20', 'A0696055'),
('2023-05-20', 'A075283'),
('2023-05-20', 'A0139593'),
('2023-05-20', 'A0683374'),
('2023-05-20', 'A0304912'),
('2023-05-20', 'A0304942'),
('2023-05-20', 'A0921978'),
('2023-05-20', 'A0165187'),
('2023-05-20', 'A0703628'),
('2023-05-20', 'A0708139'),
('2023-05-20', 'A0901949'),
('2023-05-20', 'A0904405'),
('2023-05-20', 'A0261647'),
('2023-05-20', 'A0383553'),
('2023-05-20', 'A0614896'),
('2023-05-20', 'A056964'),
('2023-05-20', 'A0914684'),
('2023-05-20', 'A0377951'),
('2023-05-20', 'A0920203'),
('2023-05-20', 'A0266759'),
('2023-05-20', 'A0189627'),
('2023-05-20', 'A0527826'),
('2023-05-20', 'A0834659'),
('2023-05-20', 'A0537547'),
('2023-05-20', 'A0716955'),
('2023-05-20', 'A0642679'),
('2023-05-20', 'A0349331'),
('2023-05-20', 'A0303009'),
('2023-05-20', 'A0283209'),
('2023-05-20', 'A0820356'),
('2023-05-20', 'A0686437'),
('2023-05-20', 'A018980'),
('2023-05-20', 'A0588287'),
('2023-05-20', 'A0925662'),
('2023-05-20', 'A0645834'),
('2023-05-20', 'A0752581'),
('2023-05-20', 'A0941397'),
('2023-05-20', 'A06383'),
('2023-05-20', 'A0254961'),
('2023-05-20', 'A025956'),
('2023-05-20', 'A0769813'),
('2023-05-20', 'A0207790'),
('2023-05-20', 'A0793095'),
('2023-05-20', 'A05670'),
('2023-05-20', 'A0450428'),
('2023-05-20', 'A0558857'),
('2023-05-20', 'A0339667'),
('2023-05-20', 'A0776545'),
('2023-05-20', 'A066570'),
('2023-05-20', 'A0504016'),
('2023-05-20', 'A0824569'),
('2023-05-20', 'A046546'),
('2023-05-20', 'A0472845'),
('2023-05-20', 'A0437988'),
('2023-05-20', 'A0981682'),
('2023-05-20', 'A0190662'),
('2023-05-20', 'A0569636'),
('2023-05-20', 'A0750101'),
('2023-05-20', 'A049393'),
('2023-05-20', 'A0656565'),
('2023-05-20', 'A0705709'),
('2023-05-20', 'A0140788'),
('2023-05-20', 'A0276331'),
('2023-05-20', 'A0924188'),
('2023-05-20', 'A0901120'),
('2023-05-20', 'A0589641'),
('2023-05-20', 'A0932486'),
('2023-05-20', 'A0490351'),
('2023-05-20', 'A0568229'),
('2023-05-20', 'A0268574'),
('2023-05-20', 'A0118630'),
('2023-05-20', 'A0559'),
('2023-05-20', 'A0693973'),
('2023-05-20', 'A0301110'),
('2023-05-20', 'A0743909'),
('2023-05-20', 'A0908065'),
('2023-05-20', 'A0466391'),
('2023-05-20', 'A0170769'),
('2023-05-20', 'A0267177'),
('2023-05-20', 'A0225087'),
('2023-05-20', 'A064596'),
('2023-05-20', 'A0893535'),
('2023-05-20', 'A0455669'),
('2023-05-20', 'A0624490'),
('2023-05-20', 'A0140806'),
('2023-05-20', 'A0898794'),
('2023-05-20', 'A0840211'),
('2023-05-20', 'A0674933'),
('2023-05-20', 'A0292738'),
('2023-05-20', 'A0281817'),
('2023-05-20', 'A0607900'),
('2023-05-20', 'A0984023'),
('2023-05-20', 'A0267783'),
('2023-05-20', 'A0560357'),
('2023-05-20', 'A0440389'),
('2023-05-20', 'A075005'),
('2023-05-20', 'A0165124'),
('2023-05-20', 'A0726261'),
('2023-05-20', 'A0940550'),
('2023-05-20', 'A0952143'),
('2023-05-20', 'A0312862'),
('2023-05-20', 'A0285290'),
('2023-05-20', 'A0332288'),
('2023-05-20', 'A0362765'),
('2023-05-20', 'A0816602'),
('2023-05-20', 'A0182470'),
('2023-05-20', 'A0166889'),
('2023-05-20', 'A0700112'),
('2023-05-20', 'A0390648'),
('2023-05-20', 'A0148098'),
('2023-05-20', 'A0970991'),
('2023-05-20', 'A0950948'),
('2023-05-20', 'A0571638'),
('2023-05-20', 'A018812'),
('2023-05-20', 'A014870'),
('2023-05-20', 'A0426494'),
('2023-05-20', 'A0938224'),
('2023-05-20', 'A0932560'),
('2023-05-20', 'A0759053'),
('2023-05-20', 'A0212905'),
('2023-05-20', 'A0558951'),
('2023-05-20', 'A0653553'),
('2023-05-20', 'A0524070'),
('2023-05-20', 'A0429127'),
('2023-05-20', 'A0726348'),
('2023-05-20', 'A0567687'),
('2023-05-20', 'A037797'),
('2023-05-20', 'A0756256'),
('2023-05-20', 'A0999781'),
('2023-05-20', 'A0980829'),
('2023-05-20', 'A0554655'),
('2023-05-20', 'A0893030'),
('2023-05-20', 'A0567506'),
('2023-05-20', 'A0550317'),
('2023-05-20', 'A0113918'),
('2023-05-20', 'A0181990'),
('2023-05-20', 'A0915726'),
('2023-05-20', 'A0503259'),
('2023-05-20', 'A0265526'),
